text,label,Labels_Final
"Oh, yes! Is it Māpua?","P,P,P,P,M",B
It is fascinating that I am seeing a real rev up by this Government and other organisations taking trade visits overseas and using Māori as the front end to that.,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,M,P,P,P,P,P,P",B
What else is the Government doing to ensure that the results of research are being applied to accelerate the growth of Kiwi firms?,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,M,P",B
"First, you will note that there has been quite an amount of interjecting on the honourable member Hone Harawira, and on a number of occasions he has responded to the interjections and the disorderly behaviour on that side of the Chamber.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,M,M,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",B
It is certainly my view that the Kenepuru site will continue to play an important role in the network run by the Capital and Coast District Health Board.,"P,P,P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",B
"It sets out a whole range of functions that can be carried out only by medical practitioners, in order to protect New Zealand’s health and safety.","P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P",B
"Some of them brought along slides and photographs, and it made us realise again just how dangerous it is to work in the electrical system: how dangerous it is to put in place our transmission wires and our transmission grids, and how dangerous it is to repair the electricity wires that come into our homes in the middle of the kind of weather we have had all too frequently in Wellington this year, with major gales, storms, and so forth.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,P,P,P",B
"Tēnā koe, Mr Chair.","M,M,P,P",B
"Only if we remember those things can that anonymous Kiwi, known only to God, lie in peace.","P,P,P,P,P,P,P,P,P,M,P,P,P,P,P,P,P",B
"The bill does this by repealing the definition of the Church of England, as the purpose of the trust is to advance education for Māori, and the strict requirements in the Act are not necessary to achieve that purpose.","P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,P,P,P,P,P",B
